YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.6,26.6,,,25.4,27.9,11770,Total,,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.7,27.7,,,25.8,29.6,4828,,,,Male,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Gender,Male,GEN,MALE
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.6,25.6,,,24,27.2,6942,,,,Female,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Gender,Female,GEN,FEMALE
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.7,32.7,,,28.7,37,1152,,,Less than high school,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Education,Less than high school,EDU,EDUHS
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.5,27.5,,,25.2,29.9,3594,,,High school graduate,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.4,27.4,,,25.2,29.9,3194,,,Some college or technical school,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,21.1,21.1,,,19.3,22.9,3793,,,College graduate,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Education,College graduate,EDU,EDUCOGRAD
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,10.7,10.7,,,7.9,14.3,464,,18 - 24,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Age (years),18 - 24,AGEYR,AGEYR1824
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.9,25.9,,,22.3,29.8,973,,25 - 34,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Age (years),25 - 34,AGEYR,AGEYR2534
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.9,29.9,,,26.5,33.5,1207,,35 - 44,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Age (years),35 - 44,AGEYR,AGEYR3544
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.3,34.3,,,31.3,37.5,1933,,45 - 54,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Age (years),45 - 54,AGEYR,AGEYR4554
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.2,31.2,,,28.5,34,2503,,55 - 64,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.4,23.4,,,21.5,25.3,4690,,65 or older,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Age (years),65 or older,AGEYR,AGEYR65PLUS
2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.8,31.8,,,28.2,35.7,1485,,,,,"Less than $15,000",,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,VALUE,12,Income,"Less than $15,000",INC,INCLESS15
